Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules
Study,,,"Study Code, Study Name, Program, dbGaP",TRUE,,,,,
Study Code,"Unique identifer for the study, assigned by DCC","DS-COG-ALL, DS-PCGC, HTP, DS360-CHD, DSC",,TRUE,,Study,,,
Study Name,"Name of the study, chosen by data contributor",,,TRUE,,Study,,,
Program,Funding source for the study ??,"INCLUDE, KF",,TRUE,,Study,,,
dbGaP,dbGaP study accession code,,,FALSE,https://www.ncbi.nlm.nih.gov/gap/,Study,,,
Participant,,,"Participant ID, External ID, Family ID, Family Type, Father ID, Mother ID, Family Relationship, Study Code, Sex, Race, Ethnicity, Down Syndrome Status, Outcomes Vital Status, Age at the Last Vital Status (Days), Phenotype (HPO), Phenotype (Source Text), Phenotype Interpretation, Age at Phenotype Assignment (Days), Diagnosis Type, Diagnosis (MONDO), Diagnosis (NCIT), Diagnosis (ICD), Diagnosis (Source Text), Age at Diagnosis (Days)",TRUE,,,,"Study, Data File",
Participant ID,"Unique identifier for the participant, assigned by DCC",,,TRUE,,Participant,,,
External ID,"Unique identifier for the participant, assigned by data contributor",,,TRUE,,Participant,,,
Family ID,Unique identifer for family to which Participant belongs,,,FALSE,,Participant,,,
Family Type,Structure of family members participating in the study (proband-only = no family members participating; duo = proband + parent; trio = proband + 2 parents; trio+ = proband + 2 parents + other relatives) ,"Proband-only, Trio, Duo, Other",,FALSE,,Participant,,,
Father ID,Participant ID for Participant's father,,,FALSE,,Participant,,,
Mother ID,Participant ID for Participant's mother,,,FALSE,,Participant,,,
Family Relationship,Relationship of Participant to other family members,,,FALSE,,Participant,,,
Sex,Sex of participant,"Male, Female, Other, Unknown",,TRUE,,Participant,,,
Race,Race of participant,"White, Black or African American, Asian, More than one race, American Indian or Alaska Native, Native Hawaiian or Other Pacific Islander, Other",,TRUE,,Participant,,,
Ethnicity,Ethnicity of participant,"Not Hispanic or Latino, Hispanic or Latino, Asked but unknown",,TRUE,,Participant,,,
Down Syndrome Status,"Down Syndrome status of participant (T21 = Trisomy 21; D21 = Disomy 21, euploid)","T21, D21",,TRUE,,Participant,,,
Outcomes Vital Status,Whether participant is alive or dead [need valid values],,,FALSE,,Participant,,,
Age at the Last Vital Status (Days),Age in days when participant's vital status was last recorded (or actual death date??),,,FALSE,,Participant,,,
Phenotype (HPO),Human Phenotype Ontology code (annotated by data contributor or DCC),,,FALSE,https://www.ebi.ac.uk/ols/ontologies/hp,Participant,,,list
Phenotype (Source Text),Phenotype as described by data contributor,,,FALSE,,Participant,,,list
Phenotype Interpretation,Whether phenotype was observed or not,"Observed, Not Observed",,FALSE,,Participant,,,
Age at Phenotype Assignment (Days),Age in days at which phenotype was recorded (or onset??),,,FALSE,,Participant,,,
Diagnosis Type,How diagnosis was assigned ??,,,FALSE,,Participant,,,
Diagnosis (MONDO),Mondo disease ontology code (annotated by data contributor or DCC),,,FALSE,https://www.ebi.ac.uk/ols/ontologies/mondo,Participant,,,list
Diagnosis (NCIT),NCI Thesaurus code (annotated by data contributor or DCC),,,FALSE,https://www.ebi.ac.uk/ols/ontologies/ncit,Participant,,,list
Diagnosis (ICD),ICD-10 code (annotated by data contributor or DCC),,,FALSE,,Participant,,,list
Diagnosis (Source Text),Diagnosis as described by data contributor,,,FALSE,,Participant,,,list
Age at Diagnosis (Days),Age in days at which phenotype was assigned (or onset??),,,FALSE,,Participant,,,
Biospecimen,,,"Participant ID, Collection ID, Collection Sample Type, Sample ID, Container ID, Sample Type, Parent Sample ID, Parent Sample Type, Age At Biospecimen Collection (Days), Sample Availability, Volume, Volume Unit, Laboratory Procedure, Biospecimen Storage",FALSE,,,,"Study, Participant, Data File",
Collection ID,"Identifier for a collection event, during which one or more primary samples are collected, assigned by DCC. Referenced in time with respect to clinical course or to other collection events.",,,FALSE,,Biospecimen,,,
Collection Sample Type,Type of biological material comprising the collected sample,,,FALSE,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=693366131,Biospecimen,,,
Sample ID,"Identifier for sample, assigned (by DCC or contributor??) at time of collection, processing, treatment, or derivation. A sample is a unique biological material; two samples with two different IDs are biologically distinct.",,,FALSE,,Biospecimen,,,
